name,type,start,end
N-550,national,3,155
N-550A,national,80,100
N-551,national,0,1
N-552,national,0,9
N-554,national,0,10
N-555,national,0,6
N-556,national,5,5
N-559,national,0,5
N-5A,national,40,146
N-6,national,42,586
N-601,national,108,325
N-603,national,62,90
N-610,national,7,99
N-610A,national,1,5
N-611,national,13,208
N-611A,national,111,116
N-620,national,42,351
N-620A,national,6,234
N-620R,national,350,350
N-621,national,8,188
N-622,national,47,89
N-622A,national,77,78
N-623,national,4,152
N-625,national,18,162
N-627,national,18,78
N-627A,national,0,54
N-629,national,0,87
N-630,national,33,824
N-630A,national,142,474
N-631,national,0,56
N-632,national,0,149
N-632A,national,96,161
N-633,national,0,2
N-634,national,136,709
N-634A,national,210,464
N-634R,national,382,382
N-635,national,7,12
N-636,national,0,0
N-640,national,0,239
N-640A,national,233,238
N-641A,national,0,2
N-642,national,0,55
N-643,national,0,2
N-651,national,0,30
N-655,national,0,14
N-6A,national,196,585
N-NADOR,national,0,0
O-11,highway,0,1
O-12,highway,0,1
O-14,highway,25,25
OU-11,highway,0,1
P-11,highway,0,4
P-12,highway,0,5
PO-10,highway,0,1
PO-11,highway,0,5
PO-12,highway,0,1
PT-10,highway,0,2
R-2,highway,0,60
R-3,highway,0,29
R-4,highway,0,52
R-5,highway,0,31
S-10,highway,0,14
S-20,highway,0,5
S-21,highway,0,0
S-30,highway,0,13
SA-11,highway,335,338
SA-20,highway,91,95
SC-11,highway,0,2
SC-20,highway,0,10
SC-21,highway,0,0
SE-20,highway,0,10
SE-30,highway,0,22
SE-40,highway,0,15
SG-20,highway,0,15
SO-20,highway,0,22
T-11,highway,0,17
TO-21,highway,0,5
TO-22,highway,0,9
TO-23,highway,0,7
V-11,highway,0,1
V-21,highway,0,18
V-23,highway,0,10
V-30,highway,0,17
V-31,highway,0,13
VA-11,highway,358,359
VA-14,highway,0,0
VA-20,highway,0,9
VA-30,highway,0,21
VG-20,highway,0,10
Z-40,highway,13,33
ZA-11,highway,272,275
ZA-12,highway,0,1
ZA-13,highway,277,283
ZA-20,highway,275,277
S-20,highway,0,5
S-21,highway,0,0
S-30,highway,0,13
SA-11,highway,335,338
SA-20,highway,91,95
SC-11,highway,0,2
SC-20,highway,0,10
SC-21,highway,0,0
SE-20,highway,0,10
SE-30,highway,0,22
SE-40,highway,0,15
SG-20,highway,0,15
SO-20,highway,0,22
T-11,highway,0,17
TO-21,highway,0,5
TO-22,highway,0,9
TO-23,highway,0,7
V-11,highway,0,1
V-21,highway,0,18
V-23,highway,0,10
V-30,highway,0,17
V-31,highway,0,13
VA-11,highway,358,359
VA-14,highway,0,0
VA-20,highway,0,9
VA-30,highway,0,21
VG-20,highway,0,10
Z-40,highway,13,33
ZA-11,highway,272,275
ZA-12,highway,0,1
ZA-13,highway,277,283
ZA-20,highway,275,277
